"date","title","datasets","chart_types"
"2026-03-04","Norway's Green Transition: Electric Vehicles Reshape the Roads","13931,03013,10774","area,lollipop,heatmap,line"
"2026-03-04","The Four-Day Week Dream: How Norwegian Working Hours Have Actually Changed","05940,11350,12549","ridgeline,dumbbell,slope,small_multiples"
"2026-03-04","The Great Norwegian Wealth Divide: Where the Money Actually Lives","07276,10269,12805","waffle,waterfall,dumbbell,beeswarm"
"2026-03-05","The Norwegian Productivity Puzzle: Where Growth Disappeared","07984,11350,09189","slope,small_multiples,lollipop,area"
"2026-03-06","Norway's Kindergarten Crisis: The Hidden Cost of Universal Childcare","12370,12568,12369","lollipop,heatmap,dumbbell,small_multiples"
"2026-03-06","Norway's Housing Market: Where the Building Has Stopped","06265,07221,09170","waterfall,bump,alluvial,ridgeline"
"2026-03-07","The Silent Crisis: How Norway's Rural Schools Are Vanishing","12215,04861,07459","lollipop,alluvial,heatmap,dumbbell"
"2026-03-08","The Great Norwegian Energy Shift: How Electricity Consumption Patterns Are Rewri","08307,13931,09288","ridgeline,bump,heatmap,lollipop"
"2026-03-09","Norway's Silent Revolution: How Municipalities Are Transforming Public Services","12163,12006,12215","lollipop,beeswarm,small_multiples,dumbbell"
"2026-03-10","Norway's Bankruptcy Wave: Which Industries Are Failing in 2026","10582,09190,11350","waterfall,lollipop,heatmap,line"
"2026-03-11","Norway's Retail Revolution: How Shopping Patterns Collapsed and Transformed","08419,03013,11174","waterfall,ridgeline,lollipop,small_multiples"
"2026-03-11","The Great Norwegian Crime Collapse: Why Punishment Has Quietly Disappeared","10634","waterfall,lollipop,area,ridgeline"
