"id","label","subject","timeUnit","lastPeriod","updated","added"
"06083","Families, by type of family (M) (UD) 2005-2025","be","Annual","2025","2025-09-18","2026-06-08"
"09363","Electricity prices in the wholesale market, by type of contract (øre/kWh) 2012K1-2025K4","ei","Quarterly","2025K4","2026-02-16","2026-06-08"
"13634","Material deprivation, by county (C) 2011-2025","sk","Annual","2025","2025-11-26","2026-06-08"
"14556","Sharing of data (Central government, county municipalities, municipalities) 2025","ti","Annual","2025","2025-06-23","2026-06-08"
"13764","Satisfaction, by income group 2020-2025","sk","Annual","2025","2025-10-30","2026-06-08"
"08668","Board representatives in limited companies, by number of board positions and sex 2007-2026","vf","Annual","2026","2026-02-04","2026-06-08"
"11503","Free market sale of dwellings owned through a housing cooperative, by type of dwelling (C)","bb","Quarterly","2025K4","2026-01-29","2026-06-08"
"11327","Immigration, emigration and net immigration, by citizenship 2007K1-2025K4","be","Quarterly","2025K4","2026-02-25","2026-06-08"
"13839","Trust, by economic status 2022-2025","kf","Annual","2025","2025-12-11","2026-06-08"
"05307","Percentage daily smokers and occasional smokers (16-79 years), by sex and age 1973-2025","he","Annual","2025","2025-10-23","2026-06-08"
"04170","Accrued investments. Extraction of crude petroleum and natural gas and pipeline transport,","ei","Annual","2025","2026-02-12","2026-06-08"
"07201","Spot prices metals 1990-2025","pp","Annual","2025","2026-01-09","2026-06-08"
"12508","Trade and service areas (M) 2018-2025","nm","Annual","2025","2025-11-12","2026-06-08"
"10864","Students in post-secondary vocational education. Age, sex and ownership 2013-2025","ud","Annual","2025","2025-12-10","2026-06-08"
"11386","Price index for new dwellings 1989K1-2025K4","pp","Quarterly","2025K4","2026-02-24","2026-06-08"
"08382","Persons with refugee background, by refugee status, citizenship and groups of country back","be","Annual","2025","2025-07-01","2026-06-08"
"14220","Family day-care centres, by ownership (C) 2011-2025","ud","Annual","2025","2026-02-27","2026-06-08"
"08669","Building statistics. Average monthly registration delay for buildings started 2001M01-2026","bb","Monthly","2026M01","2026-02-12","2026-06-08"
"14705","Adjusted consumer price index (CPI, CPI-AT and CPI-ATE), by goods and services (main group","pp","Annual","2025","2026-02-08","2026-06-08"
"13793","Meaning and mastery, by economic status 2020-2025","sk","Annual","2025","2025-10-30","2026-06-08"
"14365","Use of artificial intelligence (AI) in the last three months, by sex and age (per cent) 20","ti","Annual","2025","2025-09-24","2026-06-08"
"08381","Persons with refugee background, by citizenship, sex and groups of country background 2010","be","Annual","2025","2025-07-01","2026-06-08"
"13831","Type of voluntary work last 12 months, by economic status 2022-2025","kf","Annual","2025","2025-12-11","2026-06-08"
"06988","National transports for hire or reward and own account. Tonnage carried and transport perf","tr","Quarterly","2025K3","2026-01-23","2026-06-08"
"14651","Employed persons, by sex, age and type of household 2023-2025","al","Annual","2025","2026-02-11","2026-06-08"
"13835","Trust, by county (C) 2022-2025","kf","Annual","2025","2025-12-11","2026-06-08"
"06921","Trips, by mode of transport and type of trip (million trips) 2008K1-2025K3","tr","Quarterly","2025K3","2025-11-26","2026-06-08"
"11653","Employees and jobs, by place of work and sector (M) 2016K1-2025K4","al","Quarterly","2025K4","2026-02-05","2026-06-08"
"13797","Meaning and mastery, by sexual orientation 2022-2025","sk","Annual","2025","2025-10-30","2026-06-08"
"13554","General election. Voters, by political party, sex and age (per cent) 1997-2025","va","Annual","2025","2025-12-15","2026-06-08"
